sid,star
953,Fred Willard
954,Jamie Bell
955,Emilio Echevarría
956,Björk
957,Giovanni Ribisi
958,Natalie Portman
959,Sanaa Lathan
960,Jonathan Lipnicki
961,Mark Addy
962,Gerard Butler
963,Joshua Jackson
964,Jet Li
965,Amanda Schull
966,Jeffrey Donovan
967,Jean Reno
968,John Malkovich
969,Colin Farrell
970,Shane West
971,Mike White
972,Kirk Cameron
973,Lauren Ambrose
974,Jamie Foxx
975,Brenda Blethyn
976,Jung Suh
977,Jennifer Morrison
978,Penélope Cruz
979,Tim Meadows
980,Joan Allen
981,Ricardo Darín
982,Timothy Olyphant
983,Lori Heuring
984,Michelle Rodriguez
985,Frankie Muniz
986,Huey Lewis
987,Christine Cavanaugh
988,Takeshi Kitano
989,Minnie Driver
990,Chris Klein
991,Jim Cummings
992,Garry Shandling
993,Heather Graham
994,Lara Jill Miller
995,Daniel Radcliffe
996,Vin Diesel
997,Naomi Watts
998,Daveigh Chase
999,Chyler Leigh
1000,Josh Hartnett
1001,Audrey Tautou
1002,Haley Joel Osment
1003,Jay Chandrasekhar
1004,Janeane Garofalo
1005,Jack Black
1006,Gina Philips
1007,Alexa PenaVega
1008,Angelina Jolie
1009,Julia Stiles
1010,Method Man
1011,Steve Zahn
1012,Kane Hodder
1013,Jason Mewes
1014,Samuel Le Bihan
1015,Flex Alexander
1016,John Cameron Mitchell
1017,Alexsandra Wright
1018,Tom Green
1019,Hayden Christensen
1020,Tadanobu Asano
1021,Shannon Elizabeth
1022,Tom Wilkinson
1023,Rachael Leigh Cook
1024,Marisa Paredes
1025,Stephen Chow
1026,Debi Derryberry
1027,Denise Richards
1028,Marla Sokoloff
1029,Ryan Gosling
1030,Judi Dench
1031,Shah Rukh Khan
1032,Justin Chambers
1033,Mekhi Phifer
1034,Liv Tyler
1035,Melissa Sagemiller
1036,Jennifer Westfeldt
1037,Brian Cox
1038,Dr. Dre
1039,Snoop Dogg
1040,Monica Potter
1041,Mariah Carey
1042,Vivica A. Fox
1043,Shane Brolly
1044,Toshio Furukawa
1045,Catherine Keener
1046,Andrew Lawrence
1047,Christopher Gorham
1048,Greg Stebner
1049,Eminem
1050,Adrien Brody
1051,Cillian Murphy
1052,Franka Potente
1053,Matthew Lillard
1054,Mandy Moore
1055,Joseph Gordon-Levitt
1056,Nia Vardalos
1057,Dwayne Johnson
1058,Jason Statham
1059,Kate Bosworth
1060,Julianna Margulies
1061,Ryan Reynolds
1062,Salma Hayek
1063,Steve Oedekerk
1064,Aaliyah
1065,Rebecca Romijn
1066,Jordan Ladd
1067,DJ Qualls
1068,Colin Hanks
1069,Britney Spears
1070,Andy Lau
1071,Shad Moss
1072,Kang-ho Song
1073,Parry Shen
1074,Dana Carvey
1075,Nick Cannon
1076,Eddie Griffin
1077,Alexis Bledel
1078,Angela Bettis
1079,Miguel A. Núñez Jr.
1080,Chiwetel Ejiofor
1081,Kieran Culkin
1082,Bruce Greenwood
1083,Megumi Okina
1084,Keisha Castle-Hughes
1085,Everlyn Sampi
1086,Jeremy Renner
1087,Charlie Hunnam
1088,Barry Watson
1089,Katie Holmes
1090,Casey Affleck
1091,Blayne Weaver
1092,Mars Callahan
1093,Anna Paquin
1094,Tim Curry
1095,Morris Chestnut
1096,Michael Reilly Burke
1097,America Ferrera
1098,Steve Irwin
1099,Kate Beckinsale
1100,Choi Min-sik
1101,Michael Pitt
1102,Albert Brooks
1103,Eric Bana
1104,Evan Rachel Wood
1105,Eliza Dushku
1106,Jeremy Sumpter
1107,Tommy Wiseau
1108,Jessica Biel
1109,Shia LaBeouf
1110,Sid Haig
1111,Kate Hudson
1112,Amanda Bynes
1113,Will Ferrell
1114,Blanchard Ryan
1115,A.J. Cook
1116,Elias McConnell
1117,Chaney Kley
1118,Daryl Sabara
1119,Derek Richardson
1120,Jonathan Breck
1121,Jessica Alba
1122,Jonathan Cherry
1123,Jennifer Connelly
1124,Peter Dinklage
1125,Adam Brody
1126,Halle Berry
1127,Hilary Duff
1128,Brittany Murphy
1129,Jamie Kennedy
1130,Anthony Anderson
1131,Michèle Caucheteux
1132,Paul Rudd
1133,Wes Ramsey
1134,Clive Owen
1135,Romola Garai
1136,Jason Lee
1137,Zooey Deschanel
1138,Kelly Clarkson
1139,Philip Seymour Hoffman
1140,Joe Nicolo
1141,Anne Reid
1142,Jodi Carlisle
1143,Joseph Fiennes
1144,Corbin Allred
1145,Samy Naceri
1146,Liam Aiken
1147,Emile Hirsch
1148,Scott Mechlowicz
1149,Lindsay Lohan
1150,Hugh Jackman
1151,Craig T. Nelson
1152,Chieko Baishô
1153,Jon Heder
1154,Jennifer Garner
1155,Don Cheadle
1156,John Cho
1157,Paul Giamatti
1158,Anne Hathaway
1159,Shane Carruth
1160,Tom Kenny
1161,Zach Braff
1162,Tony Chiu-Wai Leung
1163,Martin Henderson
1164,Cayden Boyd
1165,Queen Latifah
1166,Kenan Thompson
1167,Jena Malone
1168,Viggo Mortensen
1169,Rory Culkin
1170,Diego Luna
1171,Sara Foster
1172,Gael García Bernal
1173,Dwayne Adway
1174,Seung-Yun Lee
1175,Mary-Kate Olsen
1176,Stellan Skarsgård
1177,Tracey Ullman
1178,Cedric the Entertainer
1179,Konstantin Khabenskiy
1180,Omarion
1181,Ray Romano
1182,Owen Wilson
1183,Catalina Sandino Moreno
1184,Imelda Staunton
1185,Paul Kaye
1186,Kristen Stewart
1187,Jang Dong-Gun
1188,Anthony Mackie
1189,Steve Carell
1190,Ziyi Zhang
1191,Keira Knightley
1192,Hugo Weaving
1193,Orlando Bloom
1194,Martin Freeman
1195,Ioan Gruffudd
1196,Nathan Fillion
1197,Jay Hernandez
1198,Patrick Wilson
1199,Amber Tamblyn
1200,Rachel McAdams
1201,Chad Michael Murray
1202,Seann William Scott
1203,Stephanie Leonidas
1204,Donnie Wahlberg
1205,Josh Hutcherson
1206,Camilla Belle
1207,Nathan Phillips
1208,Karl Urban
1209,Owen Kline
1210,Kimberly Elise
1211,Peter Sallis
1212,50 Cent
1213,Kristanna Loken
1214,Navi Rawat
1215,Kuno Becker
1216,Jack Thompson
1217,David Strathairn
1218,Julian Morris
1219,Ray Winstone
1220,Josh Lucas
1221,Terrence Howard
1222,Tom Welling
1223,AnnaSophia Robb
1224,Benjamin Bratt
1225,Steve Howey
1226,Barney Clark
1227,John Hawkes
1228,Felicity Huffman
1229,Bryce Dallas Howard
1230,Embeth Davidtz
1231,Lou Taylor Pucci
1232,Lucas Black
1233,Daniel Craig
1234,Ivana Baquero
1235,Gerardo Taracena
1236,James McAvoy
1237,Ulrich Mühe
1238,Justin Long
1239,Brandon Routh
1240,Steven Strait
1241,Ted Levine
1242,Ben Whishaw
1243,Carice van Houten
1244,Channing Tatum
1245,Sacha Baron Cohen
1246,Mary Elizabeth Winstead
1247,Emma Roberts
1248,Lee Pace
1249,Jesse Metcalfe
1250,Ed Speleers
1251,Beyoncé
1252,Tobin Bell
1253,Mitchel Musso
1254,Jessica Simpson
1255,Jaime Pressly
1256,Sook-Yin Lee
1257,David Alan Basche
1258,Ken Watanabe
1259,Dakota Fanning
1260,Liev Schreiber
1261,Jon Foster
1262,Josh Duhamel
1263,Tyler Perry
1264,John Cena
1265,Sienna Miller
1266,Kevin James
1267,Freddie Highmore
1268,Alyson Hannigan
1269,James Franco
1270,Alison Lohman
1271,Patrick Fugit
1272,Glenn Jacobs
1273,T.I.
1274,Toby Jones
1275,Kristen Bell
1276,Jake T. Austin
1277,Daniel London
1278,Catherine O'Hara
1279,Logan Lerman
1280,Charlie Cox
1281,Michael Cera
1282,Brad Garrett
1283,Elliot Page
1284,Amy Adams
1285,Seth Rogen
1286,Scout Taylor-Compton
1287,Ryan Kwanten
1288,Jerry Seinfeld
1289,Reiko Aylesworth
1290,Dane Cook
1291,Lauren German
1292,Karra Elejalde
1293,Kal Penn
1294,Daniel Hansen
1295,Katie Featherston
1296,John C. Reilly
1297,Gaspard Ulliel
1298,Dan Castellaneta
1299,Matthew Macfadyen
1300,Will Arnett
1301,Thomas Lennon
1302,Marion Cotillard
1303,Glen Hansard
1304,Richard Jenkins
1305,Keri Russell
1306,Alexander Ludwig
1307,Catherine Zeta-Jones
1308,Daniella Alonso
1309,Sean Bean
1310,Khalid Abdalla
1311,Skyler Shaye
1312,Gabrielle Union
1313,David Koechner
1314,Wagner Moura
1315,Norah Jones
1316,Javier Bardem
1317,Rachel Nichols
1318,Patrick Carroll
1319,Big Boi
1320,Chiara Mastroianni
1321,Robert Wisdom
1322,Elisha Cuthbert
1323,Anton Yelchin
1324,Justin Chatwin
1325,Michelle Morgan
1326,Columbus Short
1327,Zack Ward
1328,Scott Speedman
1329,Ben Burtt
1330,Rebecca Hall
1331,Dev Patel
1332,Mike Vogel
1333,Shawn Ashmore
1334,Jim Sturgess
1335,Sean Faris
1336,Josh Zuckerman
1337,Ben Barnes
1338,Asa Butterfield
1339,Katherine Heigl
1340,Kåre Hedebrant
1341,Tom Hardy
1342,Carmen Electra
1343,Drake Bell
1344,Ray Stevenson
1345,Rhona Mitra
1346,Gabriel Macht
1347,Ricky Gervais
1348,Chris Pine
1349,Rainn Wilson
1350,Robert Hoffman
1351,Paul Sorvino
1352,Scott Patterson
1353,Vinnie Jones
1354,Rachel Weisz
1355,Josh Brolin
1356,Simon Pegg
1357,Brittany Snow
1358,Zac Efron
1359,Sean Maguire
1360,Matt Lanter
1361,Tina Fey
1362,Saoirse Ronan
1363,Jennifer Carpenter
1364,Frank Langella
1365,Michelle Williams
1366,Stephen McHattie
1367,Ari Folman
1368,Matthew Goode
1369,Alyssa Milano
1370,Rob Brown
1371,Josh Peck
1372,Jimmy Bennett
1373,Melissa Leo
1374,Sam Worthington
1375,Megan Fox
1376,Jackie Earle Haley
1377,Zach Galifianakis
1378,Ginnifer Goodwin
1379,Jesse Eisenberg
1380,Sharlto Copley
1381,Quinton Aaron
1382,Edward Asner
1383,Dan Fogler
1384,Jared Padalecki
1385,Anika Noni Rose
1386,Nathaniel Brown
1387,Eric Christian Olsen
1388,Garret Dillahunt
1389,Michael Nyqvist
1390,Penn Badgley
1391,Max Records
1392,Briana Evigan
1393,Christopher Plummer
1394,Gabourey Sidibe
1395,Hye-ja Kim
1396,Michael Stuhlbarg
1397,Josh Stewart
1398,Rain
1399,Nick Zano
1400,Carey Mulligan
1401,Jensen Ackles
1402,Emily Blunt
1403,Tahar Rahim
1404,Katie Jarvis
1405,Hayden Panettiere
1406,Odette Annable
1407,Jamal Woolard
1408,Sasha Grey
1409,Christian Friedel
1410,Sean Patrick Flanery
1411,Miley Cyrus
1412,Alan Van Sprang
1413,Jocelin Donahue
1414,John Krasinski
1415,Abbie Cornish
1416,Jeppe Beck Laursen
1417,Ben Foster
1418,Evan McGuire
1419,Gemma Arterton
1420,Zach Cregger
1421,Chris Massoglia
1422,Ashley Tisdale
1423,Kristin Kreuk
1424,Colm Meaney
1425,Michael Angarano
1426,Rooney Mara
1427,Jonathan D. Mellor
1428,Jay Baruchel
1429,Aaron Taylor-Johnson
1430,Madeline Carroll
1431,Scoot McNairy
1432,Sarah Butler
1433,Noah Ringer
1434,Lubna Azabal
1435,Mia Wasikowska
1436,Emma Stone
1437,Danny Trejo
1438,Idris Elba
1439,Michael Fassbender
1440,Zachary Gordon
1441,Paul Bettany
1442,Robert Pattinson
1443,Jennifer Lawrence
1444,Chris Brown
1445,Chris Messina
1446,Keir Gilchrist
1447,Kodi Smit-McPhee
1448,Will Forte
1449,Eric Balfour
1450,Joey King
1451,Amanda Seyfried
1452,Jonah Hill
1453,Amy Poehler
1454,Sharni Vinson
1455,Stephen Spinella
1456,Kôji Yakusho
1457,Bill Nighy
1458,Jenn Proske
1459,Chace Crawford
1460,Patrick Fabian
1461,Juno Temple
1462,Garrett Hedlund
1463,Connor Paolo
1464,Robin Wright
1465,Max Thieriot
1466,Danielle Harris
1467,David Hyde Pierce
1468,Chris Evans
1469,Chris Hemsworth
1470,Michael Shannon
1471,Kristen Wiig
1472,Kristen Connolly
1473,Emily Browning
1474,Mila Kunis
1475,Henry Cavill
1476,Justin Timberlake
1477,Elle Fanning
1478,Bradley Cooper
1479,Jason Momoa
1480,Danny McBride
1481,Zoe Saldana
1482,Taylor Lautner
1483,Payman Maadi
1484,Jeremy Irvine
1485,Iko Uwais
1486,Zachary Quinto
1487,Nicholas D'Agosto
1488,Alex Pettyfer
1489,Kenny Wormald
1490,Topher Grace
1491,Sara Paxton
1492,Gina Carano
1493,Jean Dujardin
1494,Lucas Pittaway
1495,Nick Swardson
1496,John Boyega
1497,Brendan Gleeson
1498,Dominic Cooper
1499,Brit Marling
1500,Felicity Jones
1501,Elizabeth Olsen
1502,Minka Kelly
1503,Selena Gomez
1504,Colin O'Donoghue
1505,Christopher Denham
1506,Thomas Horn
1507,Rhys Wakefield
1508,Michael Parks
1509,Sarah Bolger
1510,Mark Duplass
1511,Alex Kendrick
1512,Warren Christie
1513,Rhys Ifans
1514,Russell Brand
1515,Taylor Schilling
1516,Ranbir Kapoor
1517,Anna Kendrick
1518,Mads Mikkelsen
1519,Noomi Rapace
1520,Jared Gilman
1521,Jessica Chastain
1522,Andrew Garfield
1523,Kelly Macdonald
1524,Taylor Kitsch
1525,Alexander Skarsgård
1526,Vanessa Hudgens
1527,Danielle Panabaker
1528,Benjamin Walker
1529,Thomas Mann
1530,Suraj Sharma
1531,Julianne Hough
1532,Aubrey Plaza
1533,Dane DeHaan
1534,Jason Segel
1535,Sean Hayes
1536,Ann Dowd
1537,Dax Shepard
1538,Alex Veadov
1539,Sam Riley
1540,Dylan O'Brien
1541,Luke Evans
1542,Lily Collins
1543,Ashley Hinshaw
1544,Sheri Moon Zombie
1545,Kathryn McCormick
1546,Paul Dano
1547,Natasha Calis
1548,Adelaide Clemens
1549,Jean-Louis Trintignant
1550,Quvenzhané Wallis
1551,Ashley Greene
1552,Jonny Weston
1553,Josh Radnor
1554,Pål Sverre Hagen
1555,Stephen Dunham
1556,John Magaro
1557,Jesse McCartney
1558,Aamir Khan
1559,Ari Graynor
1560,Fernanda Andrade
1561,Saif Ali Khan
1562,Victoria Justice
1563,Peter Sarsgaard
1564,Domhnall Gleeson
1565,Jason Sudeikis
1566,Lorenza Izzo
1567,Daniel Brühl
1568,Jane Levy
1569,Emily Baldoni
1570,Alexandra Daddario
1571,Nicholas Hoult
1572,Karen Gillan
1573,Simon Rex
1574,Oscar Isaac
1575,Chloë Grace Moretz
1576,Julia Louis-Dreyfus
1577,Gugu Mbatha-Raw
1578,Jaden Smith
1579,Miles Teller
1580,Chadwick Boseman
1581,Sophie Nélisse
1582,Katie Chang
1583,Hideaki Anno
1584,Alice Englert
1585,Carlos Alazraqui
1586,Bill Hader
1587,Macon Blair
1588,Bruce Dern
1589,Christoph Waltz
1590,Mark Strong
1591,Neil Patrick Harris
1592,Michael B. Jordan
1593,Johnny Knoxville
1594,Amy Seimetz
1595,Liam Hemsworth
1596,Bérénice Bejo
1597,Benedict Cumberbatch
1598,Tiger Hu Chen
1599,Irrfan Khan
1600,Chris Pratt
1601,Alicia Vikander
1602,Shailene Woodley
1603,Jon Favreau
1604,Jemaine Clement
1605,Frank Grillo
1606,Maika Monroe
1607,Brenton Thwaites
1608,Sullivan Stapleton
1609,Ryan Potter
1610,Jack O'Connell
1611,Perdita Weeks
1612,Ward Horton
1613,Ellar Coltrane
1614,Eddie Redmayne
1615,Essie Davis
1616,Darío Grandinetti
1617,Dan Stevens
1618,Joel Kinnaman
1619,Zoey Deutch
1620,Rose Leslie
1621,Aaron Paul
1622,Seth MacFarlane
1623,Hugh Bonneville
1624,Richard Armitage
1625,Tom McGrath
1626,Heather Sossaman
1627,Gabriella Wilde
1628,Kit Harington
1629,Kaitlyn Dever
1630,Jake Johnson
1631,Andy Powers
1632,Sharon Leal
1633,David Oyelowo
1634,Jon Hamm
1635,John Lloyd Young
1636,Kellan Lutz
1637,Ryan Guzman
1638,Shane Harper
1639,Ty Burrell
1640,Melissa McCarthy
1641,Christina Hendricks
1642,Jared Harris
1643,Taraji P. Henson
1644,Sidse Babett Knudsen
1645,Olivia Cooke
1646,Kevin Hart
1647,Dakota Johnson
1648,Anya Taylor-Joy
1649,Brie Larson
1650,Mark Ruffalo
1651,Lily James
1652,Daisy Ridley
1653,Melissa Rauch
1654,Jason Clarke
1655,Olivia DeJonge
1656,Ed Helms
1657,Blake Lively
1658,Jim Parsons
1659,Tom Hiddleston
1660,Amy Schumer
1661,O'Shea Jackson Jr.
1662,Lake Bell
1663,Edgar Ramírez
1664,Rupert Friend
1665,Adrian Grenier
1666,Tye Sheridan
1667,Levi Miller
1668,Mae Whitman
1669,Bryan Cranston
1670,Scott Eastwood
1671,Prabhas
1672,Nat Wolff
1673,Abraham Attah
1674,Bel Powley
1675,Kitana Kiki Rodriguez
1676,James Ransone
1677,Ben Mendelsohn
1678,Taron Egerton
1679,Lily Tomlin
1680,Amy Landecker
1681,Shameik Moore
1682,Adam Scott
1683,Donnie Yen
1684,Noah Schnapp
1685,Olivia Wilde
1686,Reese Mishler
1687,Aubrey Peeples
1688,Kate Mara
1689,Rob Corddry
1690,Priscilla C. Shirer
1691,Travis Fimmel
1692,Emilia Clarke
1693,Auli'i Cravalho
1694,Vera Farmiga
1695,Eva Green
1696,Mahershala Ali
1697,Neel Sethi
1698,Ellen DeGeneres
1699,Teresa Palmer
1700,Mike Epps
1701,Suki Waterhouse
1702,Hailee Steinfeld
1703,Adam Driver
1704,Lauren Cohan
1705,Louis C.K.
1706,Andy Samberg
1707,Blake Jenner
1708,Neal McDonough
1709,John Gallagher Jr.
1710,Jack Huston
1711,Keegan-Michael Key
1712,Lewis MacDougall
1713,James Allen McCune
1714,James Arnold Taylor
1715,Elizabeth Reaser
1716,Natalie Dormer
1717,Lucas Till
1718,Joe Alwyn
1719,Ruth Negga
1720,Stephan James
1721,Bill Skarsgård
1722,Tom Holland
1723,Daniel Kaluuya
1724,Fionn Whitehead
1725,Anthony Gonzalez
1726,Ansel Elgort
1727,Gal Gadot
1728,Jacob Tremblay
1729,Sally Hawkins
1730,Emma Watson
1731,Frances McDormand
1732,Margot Robbie
1733,Jessica Rothe
1734,Scott Shepherd
1735,Brooklynn Prince
1736,Vicky Krieps
1737,Anthony LaPaglia
1738,Andy Serkis
1739,Michael Peña
1740,Kumail Nanjiani
1741,Katie Leung
1742,Matt Passmore
1743,Amandla Stenberg
1744,Dacre Montgomery
1745,Joel Edgerton
1746,T.J. Miller
1747,Rosario Dawson
1748,Regina Hall
1749,Sam Elliott
1750,Josh Gad
1751,Matilda Anna Ingrid Lutz
1752,Demetrius Shipp Jr.
1753,Demi Lovato
1754,Eugenio Derbez
1755,Jason Drucker
1756,Emily Mortimer
1757,Brett Dalton
1758,Douglas Smith
1759,Rami Malek
1760,Constance Wu
1761,John David Washington
1762,Boyd Holbrook
1763,Alden Ehrenreich
1764,Bella Thorne
1765,Lady Gaga
1766,Elsie Fisher
1767,Olivia Colman
1768,Benicio Del Toro
1769,Y'lan Noel
1770,Demián Bichir
1771,Zain Al Rafeea
1772,Nick Robinson
1773,James Corden
1774,Justin Theroux
1775,Logan Marshall-Green
1776,Jovan Adepo
1777,Claire Foy
1778,Hera Hilmar
1779,Sunny Suljic
1780,Viola Davis
1781,Leslie Mann
1782,Angourie Rice
1783,LaKeith Stanfield
1784,Lucy Hale
1785,Storm Reid
1786,Amber Heard
1787,Ayushmann Khurrana
1788,Aldis Hodge
1789,Lin Shaye
1790,Lucas Hedges
1791,Alex Roe
1792,Odessa Young
1793,Colin Woodell
1794,Mackenzie Foy
1795,Cynthea Mercado
1796,Kyrie Irving
1797,Shay Mitchell
1798,KiKi Layne
1799,Alek Skarlatos
1800,Steve Coogan
1801,Trevor Jackson
1802,J. Michael Finley
1803,Masako Nozawa
1804,Myles Truitt
1805,Wendi McLendon-Covey
1806,Tiffany Haddish
1807,Florence Pugh
1808,Taylor Russell
1809,Himesh Patel
1810,Josephine Langford
1811,Roman Griffin Davis
1812,Zachary Levi
1813,Dean-Charles Chapman
1814,Rosa Salazar
1815,Lupita Nyong'o
1816,Samara Weaving
1817,David Harbour
1818,Linda Hamilton
1819,Stephen Campbell Moore
1820,Isabela Merced
1821,Donald Glover
1822,Kyle Chandler
1823,Elizabeth Banks
1824,Zack Gottsagen
1825,Octavia Spencer
1826,Haley Lu Richardson
1827,Kaya Scodelario
1828,Oakes Fegley
1829,Patton Oswalt
1830,Linda Cardellini
1831,Zoe Margaret Colletti
1832,Michael Ealy
1833,Kotaro Daigo
1834,Jake Schur
1835,Dave Bautista
1836,Billy Barratt
1837,Chloe Bennet
1838,Rebel Wilson
1839,Gina Rodriguez
1840,Sofia Mali
1841,Tony Jaa
1842,Jing Wu
1843,Louis Ashbourne Serkis
1844,Marcel Ruiz
1845,Yara Shahidi
1846,Melanie Martinez
1847,Ashley Bratcher
1848,Terry Serpico
1849,Ace Young
1850,Elisabeth Moss
1851,Ben Schwartz
1852,Zhi-zhong Huang
